QID,Question,Difficulty Level,Gold Standard Set,Retrieval Mode,Rank,Retrieved Doc,Relevance,Notes
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",BM25,1,pdf_12,1,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",BM25,2,pdf_42,0,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",BM25,3,pdf_179,0,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",BM25,4,pdf_148,0,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",BM25,5,pdf_15,1,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",vector,1,pdf_6,2,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",vector,2,pdf_15,1,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",vector,3,pdf_116,0,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",vector,4,pdf_6,2,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",vector,5,pdf_36,0,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,1,pdf_15,1,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,2,pdf_12,1,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,3,pdf_42,0,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,4,pdf_6,2,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,5,pdf_116,0,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,1,pdf_6,2,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,2,pdf_12,1,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,3,pdf_15,1,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,4,pdf_42,0,
1,How do I open a dataset and view it in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,5,pdf_36,0,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",BM25,1,pdf_6,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",BM25,2,pdf_116,0,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",BM25,3,pdf_6,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",BM25,4,pdf_12,1,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",BM25,5,video_1,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",vector,1,pdf_6,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",vector,2,pdf_15,1,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",vector,3,pdf_116,0,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",vector,4,video_1,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",vector,5,pdf_42,0,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,1,pdf_6,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,2,pdf_116,0,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,3,pdf_6,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,4,pdf_12,1,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,5,video_1,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,1,pdf_12,1,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,2,pdf_6,2,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,3,pdf_15,1,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,4,video_32,1,
2,How can I save or export a JASP data file in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,5,video_1,2,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",BM25,1,pdf_148,0,
