K_BM25,boost_weight,K_SEMANTIC,RRF_K,TOP_AFTER_RRF,score_threshold,TOP_FINAL,H1a,H1b,H2
5,1.0,10,120,40,-3.0,3,0.8333333333333334,0.5,0.3333333333333333
20,3.0,10,10,40,2.5,1,0.16666666666666666,0.16666666666666666,1.0
20,1.0,5,60,20,3.0,1,0.3333333333333333,0.3333333333333333,1.0
5,5.0,20,120,20,2.5,5,0.3333333333333333,0.3333333333333333,1.0
5,3.0,20,10,40,2.0,5,0.3333333333333333,0.16666666666666666,1.0
10,5.0,5,120,10,-3.0,5,0.8333333333333334,0.5,0.5
20,0.0,5,60,10,-3.0,5,0.8333333333333334,0.5,0.5
5,5.0,10,120,20,2.5,1,0.3333333333333333,0.3333333333333333,1.0
5,1.0,20,120,10,-3.0,1,0.6666666666666666,0.6666666666666666,0.3333333333333333
10,0.0,5,120,20,2.0,5,0.3333333333333333,0.16666666666666666,1.0
10,0.0,20,120,40,0.0,1,0.3333333333333333,0.3333333333333333,0.8333333333333334
5,3.0,20,120,10,3.0,1,0.16666666666666666,0.16666666666666666,1.0
5,5.0,5,60,10,0.0,5,0.3333333333333333,0.16666666666666666,0.8333333333333334
5,3.0,20,10,20,2.0,3,0.3333333333333333,0.16666666666666666,1.0
10,0.0,20,10,40,3.0,3,0.16666666666666666,0.0,1.0
10,3.0,10,60,10,1.5,3,0.3333333333333333,0.16666666666666666,1.0
20,3.0,10,120,20,2.0,3,0.3333333333333333,0.16666666666666666,1.0
5,1.0,20,10,40,2.5,1,0.16666666666666666,0.16666666666666666,1.0
10,1.0,10,120,40,2.0,3,0.3333333333333333,0.16666666666666666,1.0
20,3.0,10,60,10,2.5,1,0.16666666666666666,0.16666666666666666,1.0
10,1.0,5,10,10,2.0,3,0.3333333333333333,0.16666666666666666,1.0
10,1.0,20,10,20,3.0,3,0.3333333333333333,0.16666666666666666,1.0
20,5.0,20,10,40,2.5,3,0.3333333333333333,0.3333333333333333,1.0
10,1.0,10,120,20,2.5,5,0.3333333333333333,0.16666666666666666,1.0
10,5.0,5,120,10,-1.0,1,0.6666666666666666,0.6666666666666666,0.8333333333333334
5,3.0,5,60,20,2.0,3,0.3333333333333333,0.16666666666666666,1.0
10,1.0,20,60,40,2.5,5,0.3333333333333333,0.16666666666666666,1.0
20,3.0,10,60,40,0.0,1,0.5,0.5,0.8333333333333334
20,1.0,5,60,10,2.0,1,0.16666666666666666,0.16666666666666666,1.0
10,0.0,10,60,40,3.0,3,0.3333333333333333,0.16666666666666666,1.0
