QID,Question,Difficulty Level,Retrieval Mode,Gold Standard Set,k,success@k,mrr@k,ndcg@k,precision@k_rel>=1,precision@k_goldref,recall@k_goldref,gold_size,hits_in_gold_topk
1,How do I open a dataset and view it in JASP?,easy,BM25,"pdf_6,video_1",5,1,1.0,0.8503449055347546,0.4,0.0,0.0,2,0
1,How do I open a dataset and view it in JASP?,easy,bm_vector_fusion,"pdf_6,video_1",5,1,1.0,0.7075790686744426,0.6,0.2,0.5,2,1
1,How do I open a dataset and view it in JASP?,easy,bm_vector_fusion_rerank,"pdf_6,video_1",5,1,1.0,1.0,0.6,0.2,0.5,2,1
1,How do I open a dataset and view it in JASP?,easy,vector,"pdf_6,video_1",5,1,1.0,0.9128781396400242,0.6,0.2,0.5,2,1
2,How can I save or export a JASP data file in JASP?,easy,BM25,"pdf_6,video_1",5,1,1.0,0.8926893079768027,0.8,0.4,1.0,2,2
2,How can I save or export a JASP data file in JASP?,easy,bm_vector_fusion,"pdf_6,video_1",5,1,1.0,0.8926893079768027,0.8,0.4,1.0,2,2
2,How can I save or export a JASP data file in JASP?,easy,bm_vector_fusion_rerank,"pdf_6,video_1",5,1,1.0,0.8025392158797567,1.0,0.4,1.0,2,2
2,How can I save or export a JASP data file in JASP?,easy,vector,"pdf_6,video_1",5,1,1.0,0.9128781396400242,0.6,0.4,1.0,2,2
3,How to set up results preferences in JASP?,easy,BM25,"pdf_6,video_1",5,1,0.3333333333333333,0.5196610607458307,0.4,0.2,0.5,2,1
3,How to set up results preferences in JASP?,easy,bm_vector_fusion,"pdf_6,video_1",5,1,1.0,1.0,0.4,0.2,0.5,2,1
3,How to set up results preferences in JASP?,easy,bm_vector_fusion_rerank,"pdf_6,video_1",5,1,1.0,0.8772153153380493,0.4,0.2,0.5,2,1
3,How to set up results preferences in JASP?,easy,vector,"pdf_6,video_1",5,1,1.0,0.9790187994940358,0.6,0.2,0.5,2,1
4,How can I check for outliers in my dataset using JASP?,easy,BM25,"pdf_34,",5,1,1.0,0.944847956559586,0.4,0.2,1.0,1,1
4,How can I check for outliers in my dataset using JASP?,easy,bm_vector_fusion,"pdf_34,",5,1,1.0,1.0,0.4,0.2,1.0,1,1
4,How can I check for outliers in my dataset using JASP?,easy,bm_vector_fusion_rerank,"pdf_34,",5,1,1.0,1.0,0.4,0.2,1.0,1,1
4,How can I check for outliers in my dataset using JASP?,easy,vector,"pdf_34,",5,1,1.0,1.0,0.2,0.2,1.0,1,1
5,What are the assumptions of a one-sample t-test?,easy,BM25,"pdf_48,pdf_52",5,1,1.0,0.9514426589871553,0.6,0.4,1.0,2,2
5,What are the assumptions of a one-sample t-test?,easy,bm_vector_fusion,"pdf_48,pdf_52",5,1,1.0,0.9935774939007994,0.8,0.4,1.0,2,2
