QID,Question,Difficulty Level,Retrieval Mode,nDCG@k
1,How do I open a dataset and view it in JASP?,easy,BM25,0.8503449055347546
1,How do I open a dataset and view it in JASP?,easy,bm_vector_fusion,0.7075790686744426
1,How do I open a dataset and view it in JASP?,easy,bm_vector_fusion_rerank,1.0
1,How do I open a dataset and view it in JASP?,easy,vector,0.9128781396400242
2,How can I save or export a JASP data file in JASP?,easy,BM25,0.8926893079768027
2,How can I save or export a JASP data file in JASP?,easy,bm_vector_fusion,0.8926893079768027
2,How can I save or export a JASP data file in JASP?,easy,bm_vector_fusion_rerank,0.8025392158797567
2,How can I save or export a JASP data file in JASP?,easy,vector,0.9128781396400242
3,How to set up results preferences in JASP?,easy,BM25,0.5196610607458307
3,How to set up results preferences in JASP?,easy,bm_vector_fusion,1.0
3,How to set up results preferences in JASP?,easy,bm_vector_fusion_rerank,0.8772153153380493
3,How to set up results preferences in JASP?,easy,vector,0.9790187994940358
4,How can I check for outliers in my dataset using JASP?,easy,BM25,0.944847956559586
4,How can I check for outliers in my dataset using JASP?,easy,bm_vector_fusion,1.0
4,How can I check for outliers in my dataset using JASP?,easy,bm_vector_fusion_rerank,1.0
4,How can I check for outliers in my dataset using JASP?,easy,vector,1.0
5,What are the assumptions of a one-sample t-test?,easy,BM25,0.9514426589871553
5,What are the assumptions of a one-sample t-test?,easy,bm_vector_fusion,0.9935774939007994
5,What are the assumptions of a one-sample t-test?,easy,bm_vector_fusion_rerank,0.9807710461847231
5,What are the assumptions of a one-sample t-test?,easy,vector,0.9935774939007994
6,How do I perform a multinomial test in JASP ?,easy,BM25,0.9047172294870752
6,How do I perform a multinomial test in JASP ?,easy,bm_vector_fusion,0.9558295932317544
6,How do I perform a multinomial test in JASP ?,easy,bm_vector_fusion_rerank,1.0
6,How do I perform a multinomial test in JASP ?,easy,vector,0.9719643720954755
7,How to interpret the chi-square output?,easy,BM25,0.9805704719000117
7,How to interpret the chi-square output?,easy,bm_vector_fusion,1.0
7,How to interpret the chi-square output?,easy,bm_vector_fusion_rerank,0.7122630665145961
7,How to interpret the chi-square output?,easy,vector,0.9197207891481876
8,How do I set up an independent samples t-test in JASP?,easy,BM25,0.0
8,How do I set up an independent samples t-test in JASP?,easy,bm_vector_fusion,0.0
8,How do I set up an independent samples t-test in JASP?,easy,bm_vector_fusion_rerank,0.940914767159646
8,How do I set up an independent samples t-test in JASP?,easy,vector,0.6460523621555107
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,BM25,1.0
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,bm_vector_fusion,0.9197207891481876
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,bm_vector_fusion_rerank,1.0
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,vector,0.9639404333166532
10,How do I run a paired-samples t-test in JASP?,easy,BM25,0.8529278650606569
10,How do I run a paired-samples t-test in JASP?,easy,bm_vector_fusion,1.0
10,How do I run a paired-samples t-test in JASP?,easy,bm_vector_fusion_rerank,0.9060254355346824
10,How do I run a paired-samples t-test in JASP?,easy,vector,1.0
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,BM25,0.9469024295259745
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,bm_vector_fusion,0.9639404333166532
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,bm_vector_fusion_rerank,0.9674679834891694
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,vector,0.4935456744811716
12,How do I run a regression analysis in JASP?,easy,BM25,0.0
