QID,Question,Difficulty Level,Retrieval Mode,Success@k
1,How do I open a dataset and view it in JASP?,easy,BM25,0
1,How do I open a dataset and view it in JASP?,easy,bm_vector_fusion,1
1,How do I open a dataset and view it in JASP?,easy,bm_vector_fusion_rerank,1
1,How do I open a dataset and view it in JASP?,easy,vector,1
2,How can I save or export a JASP data file in JASP?,easy,BM25,1
2,How can I save or export a JASP data file in JASP?,easy,bm_vector_fusion,1
2,How can I save or export a JASP data file in JASP?,easy,bm_vector_fusion_rerank,1
2,How can I save or export a JASP data file in JASP?,easy,vector,1
3,How to set up results preferences in JASP?,easy,BM25,1
3,How to set up results preferences in JASP?,easy,bm_vector_fusion,1
3,How to set up results preferences in JASP?,easy,bm_vector_fusion_rerank,1
3,How to set up results preferences in JASP?,easy,vector,1
4,How can I check for outliers in my dataset using JASP?,easy,BM25,1
4,How can I check for outliers in my dataset using JASP?,easy,bm_vector_fusion,1
4,How can I check for outliers in my dataset using JASP?,easy,bm_vector_fusion_rerank,1
4,How can I check for outliers in my dataset using JASP?,easy,vector,1
5,What are the assumptions of a one-sample t-test?,easy,BM25,1
5,What are the assumptions of a one-sample t-test?,easy,bm_vector_fusion,1
5,What are the assumptions of a one-sample t-test?,easy,bm_vector_fusion_rerank,1
5,What are the assumptions of a one-sample t-test?,easy,vector,1
6,How do I perform a multinomial test in JASP ?,easy,BM25,1
6,How do I perform a multinomial test in JASP ?,easy,bm_vector_fusion,1
6,How do I perform a multinomial test in JASP ?,easy,bm_vector_fusion_rerank,1
6,How do I perform a multinomial test in JASP ?,easy,vector,1
7,How to interpret the chi-square output?,easy,BM25,1
7,How to interpret the chi-square output?,easy,bm_vector_fusion,1
7,How to interpret the chi-square output?,easy,bm_vector_fusion_rerank,1
7,How to interpret the chi-square output?,easy,vector,1
8,How do I set up an independent samples t-test in JASP?,easy,BM25,0
8,How do I set up an independent samples t-test in JASP?,easy,bm_vector_fusion,0
8,How do I set up an independent samples t-test in JASP?,easy,bm_vector_fusion_rerank,1
8,How do I set up an independent samples t-test in JASP?,easy,vector,1
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,BM25,1
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,bm_vector_fusion,1
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,bm_vector_fusion_rerank,1
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,vector,1
10,How do I run a paired-samples t-test in JASP?,easy,BM25,1
10,How do I run a paired-samples t-test in JASP?,easy,bm_vector_fusion,1
10,How do I run a paired-samples t-test in JASP?,easy,bm_vector_fusion_rerank,1
10,How do I run a paired-samples t-test in JASP?,easy,vector,1
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,BM25,1
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,bm_vector_fusion,1
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,bm_vector_fusion_rerank,1
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,vector,1
12,How do I run a regression analysis in JASP?,easy,BM25,0
12,How do I run a regression analysis in JASP?,easy,bm_vector_fusion,0
12,How do I run a regression analysis in JASP?,easy,bm_vector_fusion_rerank,0
12,How do I run a regression analysis in JASP?,easy,vector,0
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,BM25,1
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,bm_vector_fusion,0
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,bm_vector_fusion_rerank,1
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,vector,1
14,What output does JASP provide for correlation analysis?,easy,BM25,0
14,What output does JASP provide for correlation analysis?,easy,bm_vector_fusion,0
14,What output does JASP provide for correlation analysis?,easy,bm_vector_fusion_rerank,0
14,What output does JASP provide for correlation analysis?,easy,vector,0
15,How do I run a one-way ANOVA for more than two groups in JASP?,easy,BM25,1
15,How do I run a one-way ANOVA for more than two groups in JASP?,easy,bm_vector_fusion,1
15,How do I run a one-way ANOVA for more than two groups in JASP?,easy,bm_vector_fusion_rerank,1
15,How do I run a one-way ANOVA for more than two groups in JASP?,easy,vector,1
16,How to choose appropriate post-hoc tests for ANOVA  in JASP?,easy,BM25,1
16,How to choose appropriate post-hoc tests for ANOVA  in JASP?,easy,bm_vector_fusion,1
16,How to choose appropriate post-hoc tests for ANOVA  in JASP?,easy,bm_vector_fusion_rerank,1
16,How to choose appropriate post-hoc tests for ANOVA  in JASP?,easy,vector,1
17,How do I check assumptions before running ANOVA in JASP?,easy,BM25,1
17,How do I check assumptions before running ANOVA in JASP?,easy,bm_vector_fusion,1
17,How do I check assumptions before running ANOVA in JASP?,easy,bm_vector_fusion_rerank,1
17,How do I check assumptions before running ANOVA in JASP?,easy,vector,1
18,How do I perform a Kruskal–Wallis test for non-normal multi-group data in JASP?,easy,BM25,1
18,How do I perform a Kruskal–Wallis test for non-normal multi-group data in JASP?,easy,bm_vector_fusion,1
18,How do I perform a Kruskal–Wallis test for non-normal multi-group data in JASP?,easy,bm_vector_fusion_rerank,1
18,How do I perform a Kruskal–Wallis test for non-normal multi-group data in JASP?,easy,vector,1
19,Where is the nonparametric ANOVA option located in the menu?,easy,BM25,1
